Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team A - Player 4,Team B - Player 1,Team B - Player 2,Team B - Player 3,Team B - Player 4
Group Stage,Open Contender,Group F,1,Single game,WS Dudzik/Kusztal,Raptor and Wolf,WS Dudzik/Kusztal,15,13,,,,,Jakub Kusztal,Janek Dudzik,,,Alexandre Esposito,Martin Clotman,,
Group Stage,Open Contender,Group F,1,Single game,NEM Tropical Vikings,Defensive Duo,NEM Tropical Vikings,17,15,,,,,Johannes Modalsli,Gerardo Goar,,,Tomer Kedar,Micha Daling,,
Group Stage,Open Contender,Group G,1,Single game,WaWaWeeWa,Holesome,Holesome,7,15,,,,,Fabian Hagen,Maher Saadeddin,,,Till Ullmann,Paul Schirop,,
Group Stage,Open Contender,Group G,1,Single game,Createam,Kreutzer/Klapperich,Kreutzer/Klapperich,8,15,,,,,Harshil Shah,Andrew Pelton,,,Kaspar Kreutzer,Justus Klapperich,,
Group Stage,Open Contender,Group H,1,Single game,Brussels Canine 🦊,Flying Focas,Flying Focas,16,17,,,,,Gilles Hublet,Igor Jottrand,,,Maximilian Portee,Franco Munoz,,
Group Stage,Open Contender,Group H,1,Single game,Holy Duck,Bro or no?,Bro or no?,13,15,,,,,Jakob Blaaholm Nielsen,David Lyngbye,,,Olivier Saunier,Alexandre Thiollière,,
Group Stage,Open Contender,Group I,1,Single game,Blueberrinni Octopussinni,dunno,Blueberrinni Octopussinni,15,11,,,,,Sebastiano Guerra,Guillaume Van Eeckhaute,,,Oscar De Ridder,Pierre Hülsemann,,
Group Stage,Open Contender,Group I,1,Single game,TBC - To Be Catalan,Antwerp Raptors 🦖,TBC - To Be Catalan,15,6,,,,,Ernest Cardona Plantada,Paul Volle,,,Brecht Van den Steen,Niels Verbois,,
Group Stage,Open Contender,Group J,1,Single game,Double Roll Up,Don‘t poke the lobsters,Double Roll Up,15,13,,,,,Alexandre ROLLOIS,Antoine .R,,,Nicolas Manneback,Kai Svoboda,,
Group Stage,Open Contender,Group J,1,Single game,SSUP Conga,Demon Time,SSUP Conga,15,9,,,,,Bendix Heß,Noah Rohloff,,,Toan Pauwels,Irian Baert,,
Group Stage,Open Contender,Group K,1,Single game,WS Git Back,Holy T,WS Git Back,16,14,,,,,Max Łochowski,Joe Kerridge,,,Jannik Tiemann,Benny Gottwald,,
Group Stage,Open Contender,Group L,1,Single game,CoachSurfing,16Max 🦊,CoachSurfing,15,13,,,,,Clément Martin-Gougenheim,Paul Heintzé,,,Cesar Jottrand,Maxime Despontin,,
Group Stage,Open Contender,Group A,2,Single game,V-Kings,WS Beer,V-Kings,15,9,,,,,wout thysens,Tuur Demaegdt,,,Michał Kusztal,Mateusz Kusztal,,
Group Stage,Open Contender,Group A,2,Single game,Les Joutoux,WS Gołaszewski/Foks,Les Joutoux,15,11,,,,,Bryan Rodon,Emeric Lemoine,,,Andrzej Gołaszewski,Mateusz Foks,,
Group Stage,Open Contender,Group B,2,Single game,Sensei,Deepdive-Darmstadt,Deepdive-Darmstadt,8,15,,,,,Mindaugas Butkus,Ugnius Lekecinskas,,,Niklas Grünewald,Max Syndikus,,
Group Stage,Open Contender,Group B,2,Single game,Bacchus e benessere,Titanic Duo,Bacchus e benessere,15,6,,,,,Louen Previtali,luc beltrando,,,Fouliard Baptiste,Quentin Rouhier,,
Group Stage,Open Contender,Group C,2,Single game,Chaos Theory,Men in block,Chaos Theory,15,8,,,,,Christian Brødsgaard,Mathias Linnet,,,Quentin COUYRAS,Jean Kervella,,
Group Stage,Open Contender,Group C,2,Single game,RRR (Rnt Rivals Reunited) 🐯,Swisschoclate,RRR (Rnt Rivals Reunited) 🐯,16,14,,,,,Senthil Siva,Alberto Amato,,,Noé Reinhardt,Théo Zwahlen,,
Group Stage,Open Contender,Group D,2,Single game,Le beurre et l'argent du beurre,Insane Mainzset,Insane Mainzset,10,15,,,,,Alec Gautier,karim lahoud,,,Lars Rudorf,Malte Fromm,,
Group Stage,Open Contender,Group D,2,Single game,Les petits flocons,Streuselbrötchen,Streuselbrötchen,7,15,,,,,Simon Chervin,Remi Salles,,,Rafael Miranda Lima,Henning Franzel,,
Group Stage,Open Contender,Group E,2,Single game,Limón y Pumba,SpikeOps,Limón y Pumba,15,13,,,,,Tavo Garcia,Topias Zein,,,Adriaan Van Gerven,Wout Seynaeve,,
Group Stage,Open Contender,Group E,2,Single game,Xavi / Chris,RCG ChrisTops,RCG ChrisTops,11,15,,,,,Xavi Fermoso,Christopher Behrmann,,,Thomas Pschaid,Christoph Lorenzoni,,
Group Stage,Open Contender,Group F,2,Single game,WS Dudzik/Kusztal,Defensive Duo,WS Dudzik/Kusztal,15,9,,,,,Jakub Kusztal,Janek Dudzik,,,Tomer Kedar,Micha Daling,,
Group Stage,Open Contender,Group F,2,Single game,NEM Tropical Vikings,Raptor and Wolf,Raptor and Wolf,9,15,,,,,Johannes Modalsli,Gerardo Goar,,,Alexandre Esposito,Martin Clotman,,
Group Stage,Open Contender,Group G,2,Single game,WaWaWeeWa,Kreutzer/Klapperich,WaWaWeeWa,15,13,,,,,Fabian Hagen,Maher Saadeddin,,,Kaspar Kreutzer,Justus Klapperich,,
Group Stage,Open Contender,Group G,2,Single game,Createam,Holesome,Holesome,10,15,,,,,Harshil Shah,Andrew Pelton,,,Till Ullmann,Paul Schirop,,
Group Stage,Open Contender,Group H,2,Single game,Brussels Canine 🦊,Bro or no?,Brussels Canine 🦊,15,13,,,,,Gilles Hublet,Igor Jottrand,,,Olivier Saunier,Alexandre Thiollière,,
Group Stage,Open Contender,Group H,2,Single game,Holy Duck,Flying Focas,Flying Focas,14,16,,,,,Jakob Blaaholm Nielsen,David Lyngbye,,,Maximilian Portee,Franco Munoz,,
Group Stage,Open Contender,Group I,2,Single game,Blueberrinni Octopussinni,Antwerp Raptors 🦖,Blueberrinni Octopussinni,15,8,,,,,Sebastiano Guerra,Guillaume Van Eeckhaute,,,Brecht Van den Steen,Niels Verbois,,
Group Stage,Open Contender,Group I,2,Single game,TBC - To Be Catalan,dunno,TBC - To Be Catalan,17,16,,,,,Ernest Cardona Plantada,Paul Volle,,,Oscar De Ridder,Pierre Hülsemann,,
Group Stage,Open Contender,Group J,2,Single game,Double Roll Up,Demon Time,Demon Time,13,15,,,,,Alexandre ROLLOIS,Antoine .R,,,Toan Pauwels,Irian Baert,,
Group Stage,Open Contender,Group J,2,Single game,SSUP Conga,Don‘t poke the lobsters,SSUP Conga,15,5,,,,,Bendix Heß,Noah Rohloff,,,Nicolas Manneback,Kai Svoboda,,
Group Stage,Open Contender,Group K,2,Single game,WS Git Back,Back to the drawing board,WS Git Back,15,8,,,,,Max Łochowski,Joe Kerridge,,,Daniel Ashton,Charlie Wilson,,
Group Stage,Open Contender,Group L,2,Single game,CoachSurfing,Uno Reverse,Uno Reverse,9,15,,,,,Clément Martin-Gougenheim,Paul Heintzé,,,Martijn Paes,Daan Paes,,
Group Stage,Open Contender,Group A,3,Single game,V-Kings,Les Joutoux,V-Kings,17,16,,,,,wout thysens,Tuur Demaegdt,,,Bryan Rodon,Emeric Lemoine,,
Group Stage,Open Contender,Group A,3,Single game,WS Beer,WS Gołaszewski/Foks,WS Beer,15,13,,,,,Michał Kusztal,Mateusz Kusztal,,,Andrzej Gołaszewski,Mateusz Foks,,
Group Stage,Open Contender,Group B,3,Single game,Sensei,Bacchus e benessere,Bacchus e benessere,8,15,,,,,Mindaugas Butkus,Ugnius Lekecinskas,,,Louen Previtali,luc beltrando,,
Group Stage,Open Contender,Group B,3,Single game,Deepdive-Darmstadt,Titanic Duo,Deepdive-Darmstadt,15,10,,,,,Niklas Grünewald,Max Syndikus,,,Fouliard Baptiste,Quentin Rouhier,,
Group Stage,Open Contender,Group C,3,Single game,Chaos Theory,RRR (Rnt Rivals Reunited) 🐯,Chaos Theory,15,8,,,,,Christian Brødsgaard,Mathias Linnet,,,Senthil Siva,Alberto Amato,,
Group Stage,Open Contender,Group C,3,Single game,Men in block,Swisschoclate,Men in block,15,12,,,,,Quentin COUYRAS,Jean Kervella,,,Noé Reinhardt,Théo Zwahlen,,
Group Stage,Open Contender,Group D,3,Single game,Le beurre et l'argent du beurre,Les petits flocons,Les petits flocons,7,15,,,,,Alec Gautier,karim lahoud,,,Simon Chervin,Remi Salles,,
Group Stage,Open Contender,Group D,3,Single game,Insane Mainzset,Streuselbrötchen,Insane Mainzset,17,15,,,,,Lars Rudorf,Malte Fromm,,,Rafael Miranda Lima,Henning Franzel,,
Group Stage,Open Contender,Group E,3,Single game,Limón y Pumba,Xavi / Chris,Limón y Pumba,15,7,,,,,Tavo Garcia,Topias Zein,,,Xavi Fermoso,Christopher Behrmann,,
Group Stage,Open Contender,Group E,3,Single game,SpikeOps,RCG ChrisTops,RCG ChrisTops,10,15,,,,,Adriaan Van Gerven,Wout Seynaeve,,,Thomas Pschaid,Christoph Lorenzoni,,
Group Stage,Open Contender,Group F,3,Single game,WS Dudzik/Kusztal,NEM Tropical Vikings,WS Dudzik/Kusztal,15,10,,,,,Jakub Kusztal,Janek Dudzik,,,Johannes Modalsli,Gerardo Goar,,
Group Stage,Open Contender,Group F,3,Single game,Defensive Duo,Raptor and Wolf,Raptor and Wolf,13,15,,,,,Tomer Kedar,Micha Daling,,,Alexandre Esposito,Martin Clotman,,
Group Stage,Open Contender,Group G,3,Single game,WaWaWeeWa,Createam,WaWaWeeWa,15,11,,,,,Fabian Hagen,Maher Saadeddin,,,Harshil Shah,Andrew Pelton,,
Group Stage,Open Contender,Group G,3,Single game,Kreutzer/Klapperich,Holesome,Holesome,9,15,,,,,Kaspar Kreutzer,Justus Klapperich,,,Till Ullmann,Paul Schirop,,
Group Stage,Open Contender,Group H,3,Single game,Brussels Canine 🦊,Holy Duck,Brussels Canine 🦊,15,7,,,,,Gilles Hublet,Igor Jottrand,,,Jakob Blaaholm Nielsen,David Lyngbye,,
Group Stage,Open Contender,Group H,3,Single game,Bro or no?,Flying Focas,Bro or no?,15,12,,,,,Olivier Saunier,Alexandre Thiollière,,,Maximilian Portee,Franco Munoz,,
Group Stage,Open Contender,Group I,3,Single game,Blueberrinni Octopussinni,TBC - To Be Catalan,Blueberrinni Octopussinni,15,8,,,,,Sebastiano Guerra,Guillaume Van Eeckhaute,,,Ernest Cardona Plantada,Paul Volle,,
Group Stage,Open Contender,Group I,3,Single game,Antwerp Raptors 🦖,dunno,dunno,4,15,,,,,Brecht Van den Steen,Niels Verbois,,,Oscar De Ridder,Pierre Hülsemann,,
Group Stage,Open Contender,Group J,3,Single game,Double Roll Up,SSUP Conga,SSUP Conga,9,15,,,,,Alexandre ROLLOIS,Antoine .R,,,Bendix Heß,Noah Rohloff,,
Group Stage,Open Contender,Group J,3,Single game,Demon Time,Don‘t poke the lobsters,Demon Time,15,6,,,,,Toan Pauwels,Irian Baert,,,Nicolas Manneback,Kai Svoboda,,
Group Stage,Open Contender,Group K,3,Single game,Back to the drawing board,Holy T,Holy T,7,15,,,,,Daniel Ashton,Charlie Wilson,,,Jannik Tiemann,Benny Gottwald,,
Group Stage,Open Contender,Group L,3,Single game,Uno Reverse,16Max 🦊,Uno Reverse,15,8,,,,,Martijn Paes,Daan Paes,,,Cesar Jottrand,Maxime Despontin,,
Group Stage,Open Contender,Group A,4,Single game,V-Kings,WS Gołaszewski/Foks,V-Kings,15,9,,,,,wout thysens,Tuur Demaegdt,,,Andrzej Gołaszewski,Mateusz Foks,,
Group Stage,Open Contender,Group A,4,Single game,Les Joutoux,WS Beer,Les Joutoux,15,9,,,,,Bryan Rodon,Emeric Lemoine,,,Michał Kusztal,Mateusz Kusztal,,
Group Stage,Open Contender,Group B,4,Single game,Sensei,Titanic Duo,Sensei,15,7,,,,,Mindaugas Butkus,Ugnius Lekecinskas,,,Fouliard Baptiste,Quentin Rouhier,,
Group Stage,Open Contender,Group B,4,Single game,Bacchus e benessere,Deepdive-Darmstadt,Deepdive-Darmstadt,12,15,,,,,Louen Previtali,luc beltrando,,,Niklas Grünewald,Max Syndikus,,
Group Stage,Open Contender,Group C,4,Single game,Chaos Theory,Swisschoclate,Chaos Theory,15,10,,,,,Christian Brødsgaard,Mathias Linnet,,,Noé Reinhardt,Théo Zwahlen,,
Group Stage,Open Contender,Group C,4,Single game,RRR (Rnt Rivals Reunited) 🐯,Men in block,RRR (Rnt Rivals Reunited) 🐯,15,7,,,,,Senthil Siva,Alberto Amato,,,Quentin COUYRAS,Jean Kervella,,
Group Stage,Open Contender,Group D,4,Single game,Le beurre et l'argent du beurre,Streuselbrötchen,Streuselbrötchen,16,17,,,,,Alec Gautier,karim lahoud,,,Rafael Miranda Lima,Henning Franzel,,
Group Stage,Open Contender,Group D,4,Single game,Les petits flocons,Insane Mainzset,Les petits flocons,15,13,,,,,Simon Chervin,Remi Salles,,,Lars Rudorf,Malte Fromm,,
Group Stage,Open Contender,Group E,4,Single game,Limón y Pumba,RCG ChrisTops,RCG ChrisTops,13,15,,,,,Tavo Garcia,Topias Zein,,,Thomas Pschaid,Christoph Lorenzoni,,
Group Stage,Open Contender,Group E,4,Single game,Xavi / Chris,SpikeOps,Xavi / Chris,15,8,,,,,Xavi Fermoso,Christopher Behrmann,,,Adriaan Van Gerven,Wout Seynaeve,,
Group Stage,Open Contender,Group F,4,Single game,WS Dudzik/Kusztal,Raptor and Wolf,WS Dudzik/Kusztal,15,12,,,,,Jakub Kusztal,Janek Dudzik,,,Alexandre Esposito,Martin Clotman,,
Group Stage,Open Contender,Group F,4,Single game,NEM Tropical Vikings,Defensive Duo,Defensive Duo,11,15,,,,,Johannes Modalsli,Gerardo Goar,,,Tomer Kedar,Micha Daling,,
Group Stage,Open Contender,Group G,4,Single game,WaWaWeeWa,Holesome,Holesome,13,15,,,,,Fabian Hagen,Maher Saadeddin,,,Till Ullmann,Paul Schirop,,
Group Stage,Open Contender,Group G,4,Single game,Createam,Kreutzer/Klapperich,Kreutzer/Klapperich,12,15,,,,,Harshil Shah,Andrew Pelton,,,Kaspar Kreutzer,Justus Klapperich,,
Group Stage,Open Contender,Group H,4,Single game,Brussels Canine 🦊,Flying Focas,Brussels Canine 🦊,16,14,,,,,Gilles Hublet,Igor Jottrand,,,Maximilian Portee,Franco Munoz,,
Group Stage,Open Contender,Group H,4,Single game,Holy Duck,Bro or no?,Bro or no?,13,15,,,,,Jakob Blaaholm Nielsen,David Lyngbye,,,Olivier Saunier,Alexandre Thiollière,,
Group Stage,Open Contender,Group I,4,Single game,Blueberrinni Octopussinni,dunno,Blueberrinni Octopussinni,15,9,,,,,Sebastiano Guerra,Guillaume Van Eeckhaute,,,Oscar De Ridder,Pierre Hülsemann,,
Group Stage,Open Contender,Group I,4,Single game,TBC - To Be Catalan,Antwerp Raptors 🦖,TBC - To Be Catalan,15,4,,,,,Ernest Cardona Plantada,Paul Volle,,,Brecht Van den Steen,Niels Verbois,,
Group Stage,Open Contender,Group J,4,Single game,Double Roll Up,Don‘t poke the lobsters,Double Roll Up,15,10,,,,,Alexandre ROLLOIS,Antoine .R,,,Nicolas Manneback,Kai Svoboda,,
Group Stage,Open Contender,Group J,4,Single game,SSUP Conga,Demon Time,SSUP Conga,15,5,,,,,Bendix Heß,Noah Rohloff,,,Toan Pauwels,Irian Baert,,
Group Stage,Open Contender,Group K,4,Single game,WS Git Back,Holy T,Holy T,12,15,,,,,Max Łochowski,Joe Kerridge,,,Jannik Tiemann,Benny Gottwald,,
Group Stage,Open Contender,Group L,4,Single game,CoachSurfing,16Max 🦊,16Max 🦊,14,15,,,,,Clément Martin-Gougenheim,Paul Heintzé,,,Cesar Jottrand,Maxime Despontin,,
Group Stage,Open Contender,Group A,5,Single game,V-Kings,WS Beer,WS Beer,13,15,,,,,wout thysens,Tuur Demaegdt,,,Michał Kusztal,Mateusz Kusztal,,
Group Stage,Open Contender,Group A,5,Single game,Les Joutoux,WS Gołaszewski/Foks,Les Joutoux,15,9,,,,,Bryan Rodon,Emeric Lemoine,,,Andrzej Gołaszewski,Mateusz Foks,,
Group Stage,Open Contender,Group B,5,Single game,Sensei,Deepdive-Darmstadt,Deepdive-Darmstadt,8,15,,,,,Mindaugas Butkus,Ugnius Lekecinskas,,,Niklas Grünewald,Max Syndikus,,
Group Stage,Open Contender,Group B,5,Single game,Bacchus e benessere,Titanic Duo,Bacchus e benessere,15,7,,,,,Louen Previtali,luc beltrando,,,Fouliard Baptiste,Quentin Rouhier,,
Group Stage,Open Contender,Group C,5,Single game,Chaos Theory,Men in block,Chaos Theory,15,11,,,,,Christian Brødsgaard,Mathias Linnet,,,Quentin COUYRAS,Jean Kervella,,
Group Stage,Open Contender,Group C,5,Single game,RRR (Rnt Rivals Reunited) 🐯,Swisschoclate,RRR (Rnt Rivals Reunited) 🐯,15,9,,,,,Senthil Siva,Alberto Amato,,,Noé Reinhardt,Théo Zwahlen,,
Group Stage,Open Contender,Group D,5,Single game,Le beurre et l'argent du beurre,Insane Mainzset,Insane Mainzset,8,15,,,,,Alec Gautier,karim lahoud,,,Lars Rudorf,Malte Fromm,,
Group Stage,Open Contender,Group D,5,Single game,Les petits flocons,Streuselbrötchen,Streuselbrötchen,11,15,,,,,Simon Chervin,Remi Salles,,,Rafael Miranda Lima,Henning Franzel,,
Group Stage,Open Contender,Group E,5,Single game,Limón y Pumba,SpikeOps,Limón y Pumba,15,12,,,,,Tavo Garcia,Topias Zein,,,Adriaan Van Gerven,Wout Seynaeve,,
Group Stage,Open Contender,Group E,5,Single game,Xavi / Chris,RCG ChrisTops,Xavi / Chris,15,12,,,,,Xavi Fermoso,Christopher Behrmann,,,Thomas Pschaid,Christoph Lorenzoni,,
Group Stage,Open Contender,Group F,5,Single game,WS Dudzik/Kusztal,Defensive Duo,WS Dudzik/Kusztal,15,12,,,,,Jakub Kusztal,Janek Dudzik,,,Tomer Kedar,Micha Daling,,
Group Stage,Open Contender,Group F,5,Single game,NEM Tropical Vikings,Raptor and Wolf,Raptor and Wolf,11,15,,,,,Johannes Modalsli,Gerardo Goar,,,Alexandre Esposito,Martin Clotman,,
Group Stage,Open Contender,Group G,5,Single game,WaWaWeeWa,Kreutzer/Klapperich,Kreutzer/Klapperich,8,15,,,,,Fabian Hagen,Maher Saadeddin,,,Kaspar Kreutzer,Justus Klapperich,,
Group Stage,Open Contender,Group G,5,Single game,Createam,Holesome,Holesome,8,15,,,,,Harshil Shah,Andrew Pelton,,,Till Ullmann,Paul Schirop,,
Group Stage,Open Contender,Group H,5,Single game,Brussels Canine 🦊,Bro or no?,Brussels Canine 🦊,17,16,,,,,Gilles Hublet,Igor Jottrand,,,Olivier Saunier,Alexandre Thiollière,,
Group Stage,Open Contender,Group H,5,Single game,Holy Duck,Flying Focas,Holy Duck,15,12,,,,,Jakob Blaaholm Nielsen,David Lyngbye,,,Maximilian Portee,Franco Munoz,,
Group Stage,Open Contender,Group I,5,Single game,Blueberrinni Octopussinni,Antwerp Raptors 🦖,Blueberrinni Octopussinni,15,6,,,,,Sebastiano Guerra,Guillaume Van Eeckhaute,,,Brecht Van den Steen,Niels Verbois,,
Group Stage,Open Contender,Group I,5,Single game,TBC - To Be Catalan,dunno,TBC - To Be Catalan,16,14,,,,,Ernest Cardona Plantada,Paul Volle,,,Oscar De Ridder,Pierre Hülsemann,,
Group Stage,Open Contender,Group J,5,Single game,Double Roll Up,Demon Time,Double Roll Up,15,12,,,,,Alexandre ROLLOIS,Antoine .R,,,Toan Pauwels,Irian Baert,,
Group Stage,Open Contender,Group J,5,Single game,SSUP Conga,Don‘t poke the lobsters,SSUP Conga,15,5,,,,,Bendix Heß,Noah Rohloff,,,Nicolas Manneback,Kai Svoboda,,
Group Stage,Open Contender,Group K,5,Single game,WS Git Back,Back to the drawing board,WS Git Back,15,8,,,,,Max Łochowski,Joe Kerridge,,,Daniel Ashton,Charlie Wilson,,
Group Stage,Open Contender,Group L,5,Single game,CoachSurfing,Uno Reverse,Uno Reverse,8,15,,,,,Clément Martin-Gougenheim,Paul Heintzé,,,Martijn Paes,Daan Paes,,
Group Stage,Open Contender,Group A,6,Single game,V-Kings,Les Joutoux,V-Kings,15,13,,,,,wout thysens,Tuur Demaegdt,,,Bryan Rodon,Emeric Lemoine,,
Group Stage,Open Contender,Group A,6,Single game,WS Beer,WS Gołaszewski/Foks,WS Beer,15,11,,,,,Michał Kusztal,Mateusz Kusztal,,,Andrzej Gołaszewski,Mateusz Foks,,
Group Stage,Open Contender,Group B,6,Single game,Sensei,Bacchus e benessere,Bacchus e benessere,8,15,,,,,Mindaugas Butkus,Ugnius Lekecinskas,,,Louen Previtali,luc beltrando,,
Group Stage,Open Contender,Group B,6,Single game,Deepdive-Darmstadt,Titanic Duo,Deepdive-Darmstadt,15,9,,,,,Niklas Grünewald,Max Syndikus,,,Fouliard Baptiste,Quentin Rouhier,,
Group Stage,Open Contender,Group C,6,Single game,Chaos Theory,RRR (Rnt Rivals Reunited) 🐯,Chaos Theory,15,6,,,,,Christian Brødsgaard,Mathias Linnet,,,Senthil Siva,Alberto Amato,,
Group Stage,Open Contender,Group C,6,Single game,Men in block,Swisschoclate,Men in block,15,12,,,,,Quentin COUYRAS,Jean Kervella,,,Noé Reinhardt,Théo Zwahlen,,
Group Stage,Open Contender,Group D,6,Single game,Le beurre et l'argent du beurre,Les petits flocons,Le beurre et l'argent du beurre,15,11,,,,,Alec Gautier,karim lahoud,,,Simon Chervin,Remi Salles,,
Group Stage,Open Contender,Group D,6,Single game,Insane Mainzset,Streuselbrötchen,Streuselbrötchen,12,15,,,,,Lars Rudorf,Malte Fromm,,,Rafael Miranda Lima,Henning Franzel,,
Group Stage,Open Contender,Group E,6,Single game,Limón y Pumba,Xavi / Chris,Xavi / Chris,14,16,,,,,Tavo Garcia,Topias Zein,,,Xavi Fermoso,Christopher Behrmann,,
Group Stage,Open Contender,Group E,6,Single game,SpikeOps,RCG ChrisTops,RCG ChrisTops,13,15,,,,,Adriaan Van Gerven,Wout Seynaeve,,,Thomas Pschaid,Christoph Lorenzoni,,
Group Stage,Open Contender,Group F,6,Single game,WS Dudzik/Kusztal,NEM Tropical Vikings,WS Dudzik/Kusztal,15,8,,,,,Jakub Kusztal,Janek Dudzik,,,Johannes Modalsli,Gerardo Goar,,
Group Stage,Open Contender,Group F,6,Single game,Defensive Duo,Raptor and Wolf,Defensive Duo,15,12,,,,,Tomer Kedar,Micha Daling,,,Alexandre Esposito,Martin Clotman,,
Group Stage,Open Contender,Group G,6,Single game,WaWaWeeWa,Createam,WaWaWeeWa,15,11,,,,,Fabian Hagen,Maher Saadeddin,,,Harshil Shah,Andrew Pelton,,
Group Stage,Open Contender,Group G,6,Single game,Kreutzer/Klapperich,Holesome,Holesome,12,15,,,,,Kaspar Kreutzer,Justus Klapperich,,,Till Ullmann,Paul Schirop,,
Group Stage,Open Contender,Group H,6,Single game,Brussels Canine 🦊,Holy Duck,Brussels Canine 🦊,15,13,,,,,Gilles Hublet,Igor Jottrand,,,Jakob Blaaholm Nielsen,David Lyngbye,,
Group Stage,Open Contender,Group H,6,Single game,Bro or no?,Flying Focas,Flying Focas,12,15,,,,,Olivier Saunier,Alexandre Thiollière,,,Maximilian Portee,Franco Munoz,,
Group Stage,Open Contender,Group I,6,Single game,Blueberrinni Octopussinni,TBC - To Be Catalan,Blueberrinni Octopussinni,15,11,,,,,Sebastiano Guerra,Guillaume Van Eeckhaute,,,Ernest Cardona Plantada,Paul Volle,,
Group Stage,Open Contender,Group I,6,Single game,Antwerp Raptors 🦖,dunno,dunno,7,15,,,,,Brecht Van den Steen,Niels Verbois,,,Oscar De Ridder,Pierre Hülsemann,,
Group Stage,Open Contender,Group J,6,Single game,Double Roll Up,SSUP Conga,SSUP Conga,11,15,,,,,Alexandre ROLLOIS,Antoine .R,,,Bendix Heß,Noah Rohloff,,
Group Stage,Open Contender,Group J,6,Single game,Demon Time,Don‘t poke the lobsters,Demon Time,15,7,,,,,Toan Pauwels,Irian Baert,,,Nicolas Manneback,Kai Svoboda,,
Group Stage,Open Contender,Group K,6,Single game,Back to the drawing board,Holy T,Holy T,14,16,,,,,Daniel Ashton,Charlie Wilson,,,Jannik Tiemann,Benny Gottwald,,
Group Stage,Open Contender,Group L,6,Single game,Uno Reverse,16Max 🦊,Uno Reverse,15,7,,,,,Martijn Paes,Daan Paes,,,Cesar Jottrand,Maxime Despontin,,
Bracket Stage new,Open Contender,Bracket A,Round of 32,Best of 3,SSUP Conga,Defensive Duo,SSUP Conga,12,15,15,13,15,4,Bendix Heß,Noah Rohloff,,,Tomer Kedar,Micha Daling,,
Bracket Stage new,Open Contender,Bracket A,Round of 32,Best of 3,Uno Reverse,dunno,Uno Reverse,15,8,15,6,,,Martijn Paes,Daan Paes,,,Oscar De Ridder,Pierre Hülsemann,,
Bracket Stage new,Open Contender,Bracket A,Round of 32,Best of 3,Blueberrinni Octopussinni,16Max 🦊,Blueberrinni Octopussinni,15,4,15,8,,,Sebastiano Guerra,Guillaume Van Eeckhaute,,,Cesar Jottrand,Maxime Despontin,,
Bracket Stage new,Open Contender,Bracket A,Round of 32,Best of 3,Deepdive-Darmstadt,WS Beer,Deepdive-Darmstadt,15,13,15,11,,,Niklas Grünewald,Max Syndikus,,,Michał Kusztal,Mateusz Kusztal,,
Bracket Stage new,Open Contender,Bracket A,Round of 32,Best of 3,Holesome,WaWaWeeWa,Holesome,16,14,15,8,,,Till Ullmann,Paul Schirop,,,Fabian Hagen,Maher Saadeddin,,
Bracket Stage new,Open Contender,Bracket A,Round of 32,Best of 3,WS Dudzik/Kusztal,Flying Focas,WS Dudzik/Kusztal,15,9,15,10,,,Jakub Kusztal,Janek Dudzik,,,Maximilian Portee,Franco Munoz,,
Bracket Stage new,Open Contender,Bracket A,Round of 32,Best of 3,V-Kings,Double Roll Up,Double Roll Up,10,15,15,13,11,15,wout thysens,Tuur Demaegdt,,,Alexandre ROLLOIS,Antoine .R,,
Bracket Stage new,Open Contender,Bracket A,Round of 32,Best of 3,WS Git Back,Demon Time,WS Git Back,16,14,12,15,15,12,Max Łochowski,Joe Kerridge,,,Toan Pauwels,Irian Baert,,
Bracket Stage new,Open Contender,Bracket A,Round of 32,Best of 3,Streuselbrötchen,Bro or no?,Bro or no?,15,12,11,15,12,15,Rafael Miranda Lima,Henning Franzel,,,Olivier Saunier,Alexandre Thiollière,,
Bracket Stage new,Open Contender,Bracket A,Round of 32,Best of 3,Holy T,Raptor and Wolf,Holy T,15,12,15,13,,,Jannik Tiemann,Benny Gottwald,,,Alexandre Esposito,Martin Clotman,,
Bracket Stage new,Open Contender,Bracket A,Round of 32,Best of 3,Brussels Canine 🦊,Kreutzer/Klapperich,Kreutzer/Klapperich,7,15,13,15,,,Gilles Hublet,Igor Jottrand,,,Kaspar Kreutzer,Justus Klapperich,,
Bracket Stage new,Open Contender,Bracket A,Round of 32,Best of 3,RCG ChrisTops,Limón y Pumba,RCG ChrisTops,15,12,15,11,,,Thomas Pschaid,Christoph Lorenzoni,,,Tavo Garcia,Topias Zein,,
Bracket Stage new,Open Contender,Bracket A,Round of 32,Best of 3,Bacchus e benessere,RRR (Rnt Rivals Reunited) 🐯,RRR (Rnt Rivals Reunited) 🐯,15,8,13,15,13,15,Louen Previtali,luc beltrando,,,Senthil Siva,Alberto Amato,,
Bracket Stage new,Open Contender,Bracket A,Round of 32,Best of 3,Les Joutoux,Xavi / Chris,Xavi / Chris,15,13,16,17,13,15,Bryan Rodon,Emeric Lemoine,,,Xavi Fermoso,Christopher Behrmann,,
