Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team A - Player 4,Team B - Player 1,Team B - Player 2,Team B - Player 3,Team B - Player 4
Group Stage,Open Pro,Group E,3,Single game,BigBoys,put ons,BigBoys,15,9,,,,,Luca Tosatti,Matteo Sacchini,,,Dominik Moritz,Aleksandrs Juška,,
Group Stage,Open Pro,Group F,3,Single game,Christiani/Harder,Minor,Christiani/Harder,15,5,,,,,Jonathan Harder,Lucas Christiani,,,Max Jansson,Paul Halphen,,
Group Stage,Open Pro,Group G,3,Single game,🖕🔄,TV Time,🖕🔄,15,14,,,,,Tim Bichler,Marcus Gauterin,,,Frederik Theunis,Gauthier Vandamme,,
Group Stage,Open Pro,Group A,4,Single game,Triple X,Off Grid Grinders,Triple X,15,8,,,,,Laura Kunzelmann,Paul Siemer,,,Georg Seiffarth,Pascal Schlosser,,
Group Stage,Open Pro,Group A,4,Single game,Roundnet Palombie,Find the surname,Find the surname,10,15,,,,,Yanis Bouchemoua,Aymeric Sandoz,,,Roman Peter,Yannick Robert,,
Group Stage,Open Pro,Group B,4,Single game,NEM - Bazzani/Borsotti,Willy Wonka,NEM - Bazzani/Borsotti,15,10,,,,,Andrea Borsotti,Nicola Bazzani,,,Rasmus Prüfer,Emil Grönebaum,,
Group Stage,Open Pro,Group B,4,Single game,Smile,TWN - Peng / Chen,Smile,15,3,,,,,Gabriel Stoisser,Felix Millton,,,Oriol Gonzalez,Søren Høy,,
Group Stage,Open Pro,Group C,4,Single game,Pour sophie,OussaMaë,Pour sophie,15,7,,,,,Dorian Améziane,Louis Mareschal,,,Maëlig Potiau,Oussama Tchita,,
Group Stage,Open Pro,Group C,4,Single game,Pipino,BRRRAS,BRRRAS,12,15,,,,,Giacomo Merlin,riccardo mercadini,,,Lucas Alexandre Rohrbach,Mathias Felipe Rios Rohrbach,,
Group Stage,Open Pro,Group D,4,Single game,Zwaffle everyone,Anderle/Petersen,Zwaffle everyone,15,10,,,,,Robin Florinda,Levi Vandaele,,,Markus Anderle,Jan Petersen,,
Group Stage,Open Pro,Group D,4,Single game,Package E?,Leidenfrost/Perriraz,Package E?,15,6,,,,,Erik Borja Forschner Mitre,Marcos Bermudez Muratel,,,Nicolas Perriraz,David Leidenfrost,,
Group Stage,Open Pro,Group E,4,Single game,Le Spiko de Familia,put ons,Le Spiko de Familia,15,9,,,,,Andreas Christensen,Kasper Søvndal,,,Dominik Moritz,Aleksandrs Juška,,
Group Stage,Open Pro,Group F,4,Single game,Misty Moonshot,Minor,Misty Moonshot,15,12,,,,,Théo Vanh Hemelryck,Pierre Lecrosnier,,,Max Jansson,Paul Halphen,,
Group Stage,Open Pro,Group G,4,Single game,nerds in disguise,TV Time,TV Time,8,15,,,,,Stefan Handschmann,David Jindra,,,Frederik Theunis,Gauthier Vandamme,,
Group Stage,Open Pro,Group A,5,Single game,Triple X,Find the surname,Find the surname,12,15,,,,,Laura Kunzelmann,Paul Siemer,,,Roman Peter,Yannick Robert,,
Group Stage,Open Pro,Group A,5,Single game,Roundnet Palombie,Off Grid Grinders,Off Grid Grinders,13,15,,,,,Yanis Bouchemoua,Aymeric Sandoz,,,Georg Seiffarth,Pascal Schlosser,,
Group Stage,Open Pro,Group B,5,Single game,NEM - Bazzani/Borsotti,TWN - Peng / Chen,NEM - Bazzani/Borsotti,15,7,,,,,Andrea Borsotti,Nicola Bazzani,,,Oriol Gonzalez,Søren Høy,,
Group Stage,Open Pro,Group B,5,Single game,Smile,Willy Wonka,Smile,15,14,,,,,Gabriel Stoisser,Felix Millton,,,Rasmus Prüfer,Emil Grönebaum,,
Group Stage,Open Pro,Group C,5,Single game,Pour sophie,BRRRAS,Pour sophie,15,11,,,,,Dorian Améziane,Louis Mareschal,,,Lucas Alexandre Rohrbach,Mathias Felipe Rios Rohrbach,,
Group Stage,Open Pro,Group C,5,Single game,Pipino,OussaMaë,OussaMaë,3,15,,,,,Giacomo Merlin,riccardo mercadini,,,Maëlig Potiau,Oussama Tchita,,
