Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team B - Player 1,Team B - Player 2,Team B - Player 3
Group Stage,Women's Advanced,Group C,10,Single game,AK,Gro-go-go!,AK,15,12,,,,,jana vandesijpe,Riet D'hoore,,Linde Van Wambeke,Sophie Bouma,
Group Stage,Women's Advanced,Group C,10,Single game,Can't touch this,DeRaMiNi,Can't touch this,15,11,,,,,Joni Neyens,Elien Alderweireldt,,Demi Dewamme,Rani T'Kint,
Bracket Stage,Women's Advanced,Bracket A,Round of 16,Best of 3,C'est ok.,Bidi by Lidl,C'est ok.,15,6,15,6,,,Jade Lacombe,Inès Paysan,,Brenda Saeys,Bieke Wynant,
Bracket Stage,Women's Advanced,Bracket A,Round of 16,Best of 3,Aaaaaah sh*t,M&M’s,Aaaaaah sh*t,15,6,15,7,,,Britt Vankemenade,Marie-Alexia Teisseyre,,Melene Marynissen,Marthe Michielsen,
Bracket Stage,Women's Advanced,Bracket A,Round of 16,Best of 3,Wannabe TWINZ,Call the midwife,Wannabe TWINZ,15,13,15,7,,,Tatiana Delbecke,Elise Van der Stichelen,,Tess Mogensen,Lien Keersse,
Bracket Stage,Women's Advanced,Bracket A,Round of 16,Best of 3,Freckle Force🔥,Undercover,Freckle Force🔥,15,6,15,5,,,Mady Smit,Roos van der Wielen,,suzanne slob,Agnes Berveling,
Bracket Stage,Women's Advanced,Bracket A,Round of 16,Best of 3,Gro-go-go!,DeRaMiNi,Gro-go-go!,15,10,15,9,,,Linde Van Wambeke,Sophie Bouma,,Demi Dewamme,Rani T'Kint,
Bracket Stage,Women's Advanced,Bracket A,Round of 16,Best of 3,Diel or no Diel,Angels Landing,Diel or no Diel,15,8,15,3,,,Shauny Dieltjes,Shannon Dieltjes,,Lotte Verbeke,Jana Laporte,
Bracket Stage,Women's Advanced,Bracket A,Round of 16,Best of 3,Amy / Marie,Can't touch this,Amy / Marie,15,6,15,9,,,Amy Campbell,Marie Jubault,,Joni Neyens,Elien Alderweireldt,
Bracket Stage,Women's Advanced,Bracket A,Quarter-final,Best of 3,AK,Amy / Marie,AK,16,14,15,7,,,jana vandesijpe,Riet D'hoore,,Amy Campbell,Marie Jubault,
