Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team B - Player 1,Team B - Player 2,Team B - Player 3
Pool Play,Women's Pro,Pool D,1,Single game,Sharing is Caring,Juice,Sharing is Caring,21,9,,,,,Meagan Bown,Adrianna Grothause,,Janey Rubin,Rachel Dolan,
Pool Play,Women's Pro,Pool A,2,Single game,VVM,angst,VVM,21,17,,,,,Olivia Jenki,Allie Foster,,Sarah Allen,Kalin Morgan,
Pool Play,Women's Pro,Pool A,2,Single game,Royalty,Tea Time,Royalty,21,19,,,,,Laurence Vallée,Katie Pierson,,Lou Washburn,Joelle Nguyen,
Pool Play,Women's Pro,Pool B,2,Single game,Space Monkeys 🚀🐒,Blind Date,Space Monkeys 🚀🐒,21,17,,,,,Rafaela Bastos,Stef Ding,,Antonia Dreiling,Katrina Gabriella,
Pool Play,Women's Pro,Pool B,2,Single game,Phan/Raber,Cheesin,Phan/Raber,21,18,,,,,Delanie Raber,Katheleen Phan,,Bel Belvedere,Amanda Jamieson,
Pool Play,Women's Pro,Pool C,2,Single game,Ruach,Tessa & Lyd,Ruach,21,13,,,,,Bekah Smith,Julia Brochu,,Lydia Malone,Tessa White,
Pool Play,Women's Pro,Pool C,2,Single game,Loopy Juice,Your Mom,Loopy Juice,22,20,,,,,Lourna Szabanos,Kate B,,Anna Lucas,Alyssa Drain,
Pool Play,Women's Pro,Pool D,2,Single game,THE BOYS,Juice,THE BOYS,21,7,,,,,Jaime Cunningham,Sylvia Dean,,Janey Rubin,Rachel Dolan,
Pool Play,Women's Pro,Pool D,2,Single game,Sharing is Caring,:-D,Sharing is Caring,22,20,,,,,Meagan Bown,Adrianna Grothause,,Carina Kuo,Tung Lin,
Pool Play,Women's Pro,Pool A,3,Single game,VVM,Royalty,Royalty,14,21,,,,,Olivia Jenki,Allie Foster,,Laurence Vallée,Katie Pierson,
Pool Play,Women's Pro,Pool A,3,Single game,angst,Tea Time,angst,22,20,,,,,Sarah Allen,Kalin Morgan,,Lou Washburn,Joelle Nguyen,
Pool Play,Women's Pro,Pool B,3,Single game,Space Monkeys 🚀🐒,Phan/Raber,Phan/Raber,17,21,,,,,Rafaela Bastos,Stef Ding,,Delanie Raber,Katheleen Phan,
Pool Play,Women's Pro,Pool B,3,Single game,Blind Date,Cheesin,Blind Date,21,11,,,,,Antonia Dreiling,Katrina Gabriella,,Bel Belvedere,Amanda Jamieson,
Pool Play,Women's Pro,Pool C,3,Single game,Ruach,Loopy Juice,Ruach,21,5,,,,,Bekah Smith,Julia Brochu,,Lourna Szabanos,Kate B,
Pool Play,Women's Pro,Pool C,3,Single game,Tessa & Lyd,Your Mom,Tessa & Lyd,21,17,,,,,Lydia Malone,Tessa White,,Anna Lucas,Alyssa Drain,
Pool Play,Women's Pro,Pool D,3,Single game,THE BOYS,Sharing is Caring,THE BOYS,21,15,,,,,Jaime Cunningham,Sylvia Dean,,Meagan Bown,Adrianna Grothause,
Pool Play,Women's Pro,Pool D,3,Single game,Juice,:-D,:-D,11,21,,,,,Janey Rubin,Rachel Dolan,,Carina Kuo,Tung Lin,
Pool Play,Women's Pro,Pool A,4,Single game,VVM,Tea Time,VVM,21,14,,,,,Olivia Jenki,Allie Foster,,Lou Washburn,Joelle Nguyen,
Pool Play,Women's Pro,Pool A,4,Single game,Royalty,angst,Royalty,21,18,,,,,Laurence Vallée,Katie Pierson,,Sarah Allen,Kalin Morgan,
Pool Play,Women's Pro,Pool B,4,Single game,Space Monkeys 🚀🐒,Cheesin,Space Monkeys 🚀🐒,21,11,,,,,Rafaela Bastos,Stef Ding,,Bel Belvedere,Amanda Jamieson,
Pool Play,Women's Pro,Pool B,4,Single game,Phan/Raber,Blind Date,Phan/Raber,21,10,,,,,Delanie Raber,Katheleen Phan,,Antonia Dreiling,Katrina Gabriella,
Pool Play,Women's Pro,Pool C,4,Single game,Ruach,Your Mom,Ruach,21,5,,,,,Bekah Smith,Julia Brochu,,Anna Lucas,Alyssa Drain,
