Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Game 4 - Score team A,Game 4 - Score team B,Game 5 - Score team A,Game 5 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team A - Player 4,Team B - Player 1,Team B - Player 2,Team B - Player 3,Team B - Player 4
Group Stage,Open Pro,Group D,4,Single game,Bot House,FTR Frontier,FTR Frontier,12,15,,,,,,,,,West Peterson,Owen Lippman,,,Jake Woolley,Kyan Kornfeld,,
Group Stage,Open Pro,Group A,5,Single game,Numb,On the Nose,On the Nose,14,16,,,,,,,,,Paq Clifford,Kieran Rose,,,Justin Barr,Dan Abrams,,
Group Stage,Open Pro,Group A,5,Single game,foolish,Bang Bros Inc.,Bang Bros Inc.,13,15,,,,,,,,,Sunny Gu,Lucas Pruett,,,Kyle Fowler,Adam Porter,,
Group Stage,Open Pro,Group B,5,Single game,Kingdom Come,Degenerates,Degenerates,16,18,,,,,,,,,Grant Klapwijk,Matthew Cole,,,Thomas Hoffman,Jack coolbaugh,,
Group Stage,Open Pro,Group B,5,Single game,Extra,Incognito,Extra,15,8,,,,,,,,,Emerson Dean,Jé Gagnon,,,Joseph Kaylor,Michael Du,,
Group Stage,Open Pro,Group C,5,Single game,J.A.R.V.I.S.,hotballers,J.A.R.V.I.S.,15,9,,,,,,,,,Josh Fragiacomo,Connor Nelson,,,Tyler Babin,Joshua Hachey,,
Group Stage,Open Pro,Group C,5,Single game,Double Clutch,minus aura,Double Clutch,20,18,,,,,,,,,Rahul Murthy,fredric hinkle,,,Nathan Robertt,Josh Hutko,,
Group Stage,Open Pro,Group D,5,Single game,V⚡️RGA,FTR Frontier,V⚡️RGA,15,9,,,,,,,,,Caleb Cummings,Dawson Morgan,,,Jake Woolley,Kyan Kornfeld,,
Group Stage,Open Pro,Group D,5,Single game,Bot House,Shaytar/Wideman,Bot House,17,15,,,,,,,,,West Peterson,Owen Lippman,,,Justin Shaytar,Nick Wideman,,
Group Stage,Open Pro,Group A,6,Single game,Numb,foolish,Numb,15,12,,,,,,,,,Paq Clifford,Kieran Rose,,,Sunny Gu,Lucas Pruett,,
Group Stage,Open Pro,Group A,6,Single game,On the Nose,Bang Bros Inc.,On the Nose,15,12,,,,,,,,,Justin Barr,Dan Abrams,,,Kyle Fowler,Adam Porter,,
Group Stage,Open Pro,Group B,6,Single game,Kingdom Come,Extra,Kingdom Come,15,13,,,,,,,,,Grant Klapwijk,Matthew Cole,,,Emerson Dean,Jé Gagnon,,
Group Stage,Open Pro,Group B,6,Single game,Degenerates,Incognito,Incognito,7,15,,,,,,,,,Thomas Hoffman,Jack coolbaugh,,,Joseph Kaylor,Michael Du,,
Group Stage,Open Pro,Group C,6,Single game,J.A.R.V.I.S.,Double Clutch,J.A.R.V.I.S.,15,8,,,,,,,,,Josh Fragiacomo,Connor Nelson,,,Rahul Murthy,fredric hinkle,,
Group Stage,Open Pro,Group C,6,Single game,hotballers,minus aura,minus aura,12,15,,,,,,,,,Tyler Babin,Joshua Hachey,,,Nathan Robertt,Josh Hutko,,
